consumer_id,psychographic_type,brainfry_score,n_recommended,product_id,product_name,brand,price,star_rating,review_count,baseline_type
C001,Maximizer,0.59,3,P0062,어성초 77 로션,아누아,19800,4.7,4600,popular
C001,Maximizer,0.59,3,P0051,시카 로션,코스알엑스,21000,4.7,4100,popular
C001,Maximizer,0.59,3,P0052,워터뱅크 로션,라네즈,39000,4.8,3900,popular
C002,Maximizer,0.56,3,P0003,워터뱅크 블루 히알루로닉 스킨,라네즈,38000,4.8,5000,popular
C002,Maximizer,0.56,3,P0016,스네일 96 뮤신 파워 스킨,코스알엑스,24000,4.7,4800,popular
C002,Maximizer,0.56,3,P0006,히알루론 스킨,토리든,21000,4.7,4500,popular
C003,Maximizer,0.61,3,P0422,어성초 두피 샴푸,아누아,21000,4.6,4300,popular
C003,Maximizer,0.61,3,P0404,어성초 두피 샴푸,아누아,19000,4.6,4100,popular
C003,Maximizer,0.61,3,P0421,탈모 케어 샴푸,닥터지,35000,4.7,3800,popular
C004,Maximizer,0.81,1,P0301,킬 커버 파운데이션,클리오,32000,4.8,6500,popular
C005,Maximizer,0.84,1,P0062,어성초 77 로션,아누아,19800,4.7,4600,popular
C006,Maximizer,0.66,2,P0003,워터뱅크 블루 히알루로닉 스킨,라네즈,38000,4.8,5000,popular
C006,Maximizer,0.66,2,P0016,스네일 96 뮤신 파워 스킨,코스알엑스,24000,4.7,4800,popular
C007,Maximizer,0.84,1,P0422,어성초 두피 샴푸,아누아,21000,4.6,4300,popular
C008,Maximizer,0.61,3,P0422,어성초 두피 샴푸,아누아,21000,4.6,4300,popular
C008,Maximizer,0.61,3,P0404,어성초 두피 샴푸,아누아,19000,4.6,4100,popular
C008,Maximizer,0.61,3,P0421,탈모 케어 샴푸,닥터지,35000,4.7,3800,popular
C009,Maximizer,0.64,3,P0301,킬 커버 파운데이션,클리오,32000,4.8,6500,popular
C009,Maximizer,0.64,3,P0321,킬 커버 글로우 파운데이션,클리오,34000,4.8,5800,popular
C009,Maximizer,0.64,3,P0317,래스팅 픽스 파운데이션,클리오,33000,4.8,5200,popular
C010,Maximizer,0.69,2,P0121,녹차 수분 마스크팩,이니스프리,2000,4.5,9000,popular
C010,Maximizer,0.69,2,P0111,알로에 수딩 젤 마스크팩,이니스프리,2200,4.5,8500,popular
C011,Maximizer,0.75,2,P0062,어성초 77 로션,아누아,19800,4.7,4600,popular
