consumer_id,psychographic_type,brainfry_score,n_recommended,product_id,product_name,brand,price,star_rating,review_count,baseline_type
C001,Maximizer,0.59,3,P0064,퍼펙트 화이트닝 로션,미샤,14000,4.3,1900,random
C001,Maximizer,0.59,3,P0089,클린 로션,에뛰드,9000,4.2,1300,random
C001,Maximizer,0.59,3,P0094,판테놀 로션,토리든,24000,4.6,2700,random
C002,Maximizer,0.56,3,P0017,라이트 풀 워터 스킨,라네즈,32000,4.6,2200,random
C002,Maximizer,0.56,3,P0020,징코 스킨,조선미녀,19500,4.4,1500,random
C002,Maximizer,0.56,3,P0026,수분 토닝 스킨,에뛰드,8500,4.2,1200,random
C003,Maximizer,0.61,3,P0430,비오틴 강화 샴푸,바이오힐보,37000,4.7,1800,random
C003,Maximizer,0.61,3,P0439,마데카소사이드 샴푸,닥터지,21500,4.5,2600,random
C003,Maximizer,0.61,3,P0423,콜라겐 샴푸,바이오힐보,36000,4.7,2100,random
C004,Maximizer,0.81,1,P0326,라이스 파운데이션,조선미녀,22000,4.5,2300,random
C005,Maximizer,0.84,1,P0097,갈락토 로션,코스알엑스,20000,4.5,2500,random
C006,Maximizer,0.66,2,P0049,쿨링 스킨,닥터지,21000,4.4,1900,random
C006,Maximizer,0.66,2,P0006,히알루론 스킨,토리든,21000,4.7,4500,random
C007,Maximizer,0.84,1,P0408,퍼밍 샴푸,바이오힐보,35000,4.7,1800,random
C008,Maximizer,0.61,3,P0409,하이드라 샴푸,토리든,20000,4.5,2300,random
C008,Maximizer,0.61,3,P0410,쿨링 두피 샴푸,어노브,11000,4.2,1400,random
C008,Maximizer,0.61,3,P0406,라이스 헤어 샴푸,조선미녀,17000,4.4,1900,random
C009,Maximizer,0.64,3,P0303,워터 슬리핑 파운데이션,라네즈,40000,4.7,4100,random
C009,Maximizer,0.64,3,P0315,에어리 파운데이션,에뛰드,18500,4.3,2200,random
C009,Maximizer,0.64,3,P0327,비타민 파운데이션,닥터지,25000,4.5,1900,random
C010,Maximizer,0.69,2,P0103,리얼 네이처 마스크팩,네이처리퍼블릭,1500,4.2,6000,random
C010,Maximizer,0.69,2,P0118,허니 마스크팩,어노브,1600,4.2,2300,random
C011,Maximizer,0.75,2,P0065,라이스 로션,조선미녀,19000,4.5,2400,random
C011,Maximizer,0.75,2,P0068,딥 히드라 로션,토리든,26000,4.6,2800,random
C012,Maximizer,0.69,2,P0057,비타민 C 로션,닥터지,25000,4.5,1900,random
C012,Maximizer,0.69,2,P0070,데일리 로션,어노브,8800,4.3,760,random
C013,Maximizer,0.8,1,P0076,펩타이드 로션,토리든,27000,4.6,2300,random
C014,Maximizer,0.81,1,P0095,영양 로션,미샤,17000,4.4,2300,random
C015,Maximizer,0.69,2,P0258,어드밴스드 나이트 리페어 쿠션,닥터지,35000,4.7,2100,random
C015,Maximizer,0.69,2,P0268,비타민 쿠션,바이오힐보,36000,4.7,1700,random
C016,Maximizer,0.73,2,P0299,선케어 쿠션,코스알엑스,28000,4.6,3000,random
C016,Maximizer,0.73,2,P0258,어드밴스드 나이트 리페어 쿠션,닥터지,35000,4.7,2100,random
C017,Maximizer,0.58,3,P0404,어성초 두피 샴푸,아누아,19000,4.6,4100,random
C017,Maximizer,0.58,3,P0434,클린 두피 샴푸,코스알엑스,21500,4.5,2800,random
C017,Maximizer,0.58,3,P0421,탈모 케어 샴푸,닥터지,35000,4.7,3800,random
C018,Maximizer,0.75,2,P0339,라이트 파운데이션,에뛰드,20000,4.3,2000,random
C018,Maximizer,0.75,2,P0343,볼륨 파운데이션,이니스프리,22000,4.4,2500,random
C019,Maximizer,0.84,1,P0423,콜라겐 샴푸,바이오힐보,36000,4.7,2100,random
C020,Maximizer,0.74,2,P0343,볼륨 파운데이션,이니스프리,22000,4.4,2500,random
C020,Maximizer,0.74,2,P0336,롱래스팅 파운데이션,닥터지,26000,4.5,2100,random
C021,Maximizer,0.84,1,P0474,시카 바디워시,코스알엑스,19000,4.6,4500,random
C022,Maximizer,0.74,2,P0323,그린티 파운데이션,이니스프리,23000,4.5,2800,random
C022,Maximizer,0.74,2,P0317,래스팅 픽스 파운데이션,클리오,33000,4.8,5200,random
C023,Maximizer,0.84,1,P0418,생강 탈모 샴푸,미샤,16000,4.4,2800,random
C024,Maximizer,0.81,1,P0013,비피다 바이옴 컴플렉스 스킨,이니스프리,35000,4.8,2800,random
C025,Maximizer,0.83,1,P0402,그린티 헤어 샴푸,이니스프리,18000,4.5,2800,random
C026,Maximizer,0.69,2,P0089,클린 로션,에뛰드,9000,4.2,1300,random
C026,Maximizer,0.69,2,P0088,갈락토 에센스 로션,미샤,17000,4.4,1900,random
C027,Maximizer,0.78,2,P0084,선물같은 로션,에뛰드,11000,4.3,1800,random
C027,Maximizer,0.78,2,P0057,비타민 C 로션,닥터지,25000,4.5,1900,random
C028,Maximizer,0.69,2,P0483,히알루론 바디워시,토리든,18500,4.5,2700,random
C028,Maximizer,0.69,2,P0479,로즈 바디워시,이니스프리,18000,4.5,3200,random
C029,Maximizer,0.73,2,P0013,비피다 바이옴 컴플렉스 스킨,이니스프리,35000,4.8,2800,random
C029,Maximizer,0.73,2,P0025,레드 불가리안 로즈 스킨,이니스프리,32000,4.6,2100,random
C030,Maximizer,0.74,2,P0254,시카페어 쿠션,코스알엑스,25000,4.6,4100,random
C030,Maximizer,0.74,2,P0292,롱웨어 쿠션,클리오,33000,4.8,5100,random
C031,Maximizer,0.7,2,P0042,판테놀 수딩 스킨,코스알엑스,18500,4.5,2900,random
C031,Maximizer,0.7,2,P0047,판테놀 스킨,코스알엑스,23000,4.6,2600,random
C032,Maximizer,0.72,2,P0278,어드밴스드 쿠션 SPF50,닥터지,36000,4.7,2300,random
C032,Maximizer,0.72,2,P0271,킬 커버 더 뉴 쿠션 SPF50+,클리오,34000,4.8,8200,random
C033,Maximizer,0.75,2,P0044,트러블 스킨,닥터지,22000,4.5,2100,random
C033,Maximizer,0.75,2,P0023,비타민 C 20 스킨,조선미녀,35000,4.7,2900,random
C034,Maximizer,0.57,3,P0321,킬 커버 글로우 파운데이션,클리오,34000,4.8,5800,random
C034,Maximizer,0.57,3,P0324,시카 파운데이션,코스알엑스,27000,4.6,3300,random
