consumer_id,psychographic_type,brainfry_score,n_recommended,product_id,product_name,brand,price,star_rating,rank_position,critic_iterations
C001,Maximizer,0.59,3,P0074,갈락토미세스 로션,코스알엑스,22000,4.6,1,2
C001,Maximizer,0.59,3,P0062,어성초 77 로션,아누아,19800,4.7,2,2
C001,Maximizer,0.59,3,P0078,비타민 로션,조선미녀,22000,4.5,3,2
C002,Maximizer,0.56,3,P0043,리들샷 200 스킨,VT코스메틱,26000,4.7,1,1
C002,Maximizer,0.56,3,P0035,리들샷 100 스킨,VT코스메틱,23000,4.7,2,1
C002,Maximizer,0.56,3,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,3,1
C003,Maximizer,0.61,3,P0416,히알루론 두피 샴푸,토리든,22000,4.6,1,1
C003,Maximizer,0.61,3,P0431,세라마이드 샴푸,토리든,21000,4.6,2,1
C003,Maximizer,0.61,3,P0411,라이스 워터 샴푸,조선미녀,18500,4.6,3,1
C004,Maximizer,0.81,1,P0335,리얼 스킨 파운데이션,바이오힐보,43000,4.8,1,1
C005,Maximizer,0.84,1,P0082,진정 장벽 로션,코스알엑스,23000,4.6,1,2
C006,Maximizer,0.66,2,P0043,리들샷 200 스킨,VT코스메틱,26000,4.7,1,2
C006,Maximizer,0.66,2,P0018,유자 C 비타민 스킨,이니스프리,26000,4.5,2,2
C007,Maximizer,0.84,1,P0446,갈락토 샴푸,코스알엑스,22000,4.5,1,2
C008,Maximizer,0.61,3,P0433,펩타이드 샴푸,바이오힐보,38000,4.8,1,2
C008,Maximizer,0.61,3,P0430,비오틴 강화 샴푸,바이오힐보,37000,4.7,2,2
C008,Maximizer,0.61,3,P0401,퍼퓸드 샴푸,라네즈,32000,4.7,3,2
C009,Maximizer,0.64,3,P0302,시카페어 파운데이션,코스알엑스,26000,4.6,1,2
C009,Maximizer,0.64,3,P0316,어드밴스드 파운데이션,닥터지,26000,4.6,2,2
C009,Maximizer,0.64,3,P0318,글로우 파운데이션 2호,롬앤,24000,4.5,3,2
C010,Maximizer,0.69,2,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C010,Maximizer,0.69,2,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,2,2
C011,Maximizer,0.75,2,P0080,레티놀 로션,닥터지,35000,4.7,1,2
C011,Maximizer,0.75,2,P0078,비타민 로션,조선미녀,22000,4.5,2,2
C012,Maximizer,0.69,2,P0073,리들샷 로션,VT코스메틱,25000,4.7,1,2
C012,Maximizer,0.69,2,P0078,비타민 로션,조선미녀,22000,4.5,2,2
C013,Maximizer,0.8,1,P0080,레티놀 로션,닥터지,35000,4.7,1,2
C014,Maximizer,0.81,1,P0080,레티놀 로션,닥터지,35000,4.7,1,1
C015,Maximizer,0.69,2,P0271,킬 커버 더 뉴 쿠션 SPF50+,클리오,34000,4.8,1,2
C015,Maximizer,0.69,2,P0279,글로우 쿠션,롬앤,26000,4.5,2,2
C016,Maximizer,0.73,2,P0271,킬 커버 더 뉴 쿠션 SPF50+,클리오,34000,4.8,1,2
C016,Maximizer,0.73,2,P0279,글로우 쿠션,롬앤,26000,4.5,2,2
C017,Maximizer,0.58,3,P0430,비오틴 강화 샴푸,바이오힐보,37000,4.7,1,2
C017,Maximizer,0.58,3,P0414,딥 리페어 샴푸,바이오힐보,36000,4.7,2,2
