consumer_id,psychographic_type,preference_style,budget_tier,budget_amount,skin_type,subcategory,brainfry_score
C001,Maximizer,utilitarian,mid,22506,oily,로션,0.59
C002,Maximizer,utilitarian,mid,27674,all,스킨,0.56
C003,Maximizer,utilitarian,mid,26279,dry,샴푸,0.61
C004,Maximizer,utilitarian,high,44719,combo,파운데이션,0.81
C005,Maximizer,utilitarian,mid,23574,combo,"로션,파운데이션",0.84
C006,Maximizer,utilitarian,high,33039,all,스킨,0.66
C007,Maximizer,utilitarian,high,31423,all,"샴푸,스킨",0.84
C008,Maximizer,utilitarian,high,39606,combo,샴푸,0.61
C009,Maximizer,utilitarian,mid,28834,oily,파운데이션,0.64
C010,Maximizer,utilitarian,mid,19654,all,마스크팩,0.69
C011,Maximizer,utilitarian,high,42130,combo,로션,0.75
C012,Maximizer,utilitarian,mid,26751,oily,로션,0.69
C013,Maximizer,utilitarian,high,40626,dry,로션,0.8
C014,Maximizer,utilitarian,high,38773,dry,"로션,샴푸",0.81
C015,Maximizer,utilitarian,high,46358,all,쿠션,0.69
C016,Maximizer,utilitarian,high,38081,combo,쿠션,0.73
C017,Maximizer,utilitarian,high,37186,oily,"샴푸,바디워시",0.58
C018,Maximizer,utilitarian,mid,20504,oily,파운데이션,0.75
C019,Maximizer,utilitarian,mid,24252,all,"샴푸,마스크팩",0.84
C020,Maximizer,utilitarian,mid,29169,combo,파운데이션,0.74
C021,Maximizer,utilitarian,mid,25123,oily,"바디워시,스킨",0.84
C022,Maximizer,utilitarian,high,46635,dry,파운데이션,0.74
C023,Maximizer,utilitarian,mid,24126,oily,샴푸,0.84
C024,Maximizer,utilitarian,mid,26005,dry,"스킨,마스크팩",0.81
C025,Maximizer,utilitarian,high,31898,oily,샴푸,0.83
C026,Maximizer,utilitarian,mid,19133,oily,"로션,쿠션",0.69
C027,Maximizer,utilitarian,mid,26645,all,"로션,샴푸",0.78
C028,Maximizer,utilitarian,mid,24537,combo,"바디워시,샴푸",0.69
C029,Maximizer,utilitarian,mid,19049,combo,스킨,0.73
C030,Maximizer,utilitarian,mid,18117,dry,쿠션,0.74
C031,Maximizer,utilitarian,mid,18514,combo,스킨,0.7
C032,Maximizer,utilitarian,high,37020,oily,"쿠션,샴푸",0.72
C033,Maximizer,utilitarian,mid,24669,oily,"스킨,파운데이션",0.75
C034,Maximizer,utilitarian,high,43470,all,"파운데이션,쿠션",0.57
C035,ValueSeeker,utilitarian,low,13298,combo,스킨,0.32
C036,ValueSeeker,utilitarian,low,11148,all,"로션,마스크팩",0.39
C037,ValueSeeker,utilitarian,low,16619,dry,"스킨,샴푸",0.54
C038,ValueSeeker,utilitarian,low,13329,all,바디워시,0.31
C039,ValueSeeker,utilitarian,mid,20697,all,스킨,0.55
C040,ValueSeeker,utilitarian,mid,22673,all,"쿠션,파운데이션",0.55
C041,ValueSeeker,utilitarian,mid,21111,combo,로션,0.54
C042,ValueSeeker,utilitarian,low,10468,all,"샴푸,바디워시",0.4
C043,ValueSeeker,utilitarian,low,17870,dry,로션,0.27
C044,ValueSeeker,utilitarian,low,13307,all,샴푸,0.32
C045,ValueSeeker,utilitarian,low,13434,combo,마스크팩,0.31
C046,ValueSeeker,utilitarian,mid,22351,all,로션,0.45
C047,ValueSeeker,utilitarian,mid,23180,dry,"스킨,바디워시",0.44
C048,ValueSeeker,utilitarian,low,14404,oily,샴푸,0.33
C049,ValueSeeker,utilitarian,mid,22002,combo,마스크팩,0.3
C050,ValueSeeker,utilitarian,mid,28942,combo,쿠션,0.28
C051,ValueSeeker,utilitarian,low,10945,dry,"샴푸,로션",0.33
C052,ValueSeeker,utilitarian,low,11667,combo,"샴푸,바디워시",0.33
C053,ValueSeeker,utilitarian,low,15196,all,마스크팩,0.26
C054,ValueSeeker,utilitarian,mid,28438,combo,로션,0.47
C055,ValueSeeker,utilitarian,mid,19832,dry,쿠션,0.52
C056,ValueSeeker,utilitarian,low,14771,oily,"바디워시,로션",0.26
C057,ValueSeeker,utilitarian,mid,23862,oily,쿠션,0.32
C058,ValueSeeker,utilitarian,low,16390,all,"샴푸,로션",0.53
C059,ValueSeeker,utilitarian,low,17997,oily,바디워시,0.26
C060,ValueSeeker,utilitarian,mid,28975,oily,"마스크팩,로션",0.49
C061,ValueSeeker,utilitarian,low,17144,dry,"바디워시,로션",0.31
C062,ValueSeeker,utilitarian,mid,23000,oily,"로션,스킨",0.45
C063,ValueSeeker,utilitarian,mid,22564,dry,"파운데이션,마스크팩",0.36
C064,ValueSeeker,utilitarian,mid,18452,dry,"마스크팩,로션",0.42
C065,ValueSeeker,utilitarian,mid,19776,all,마스크팩,0.47
C066,ValueSeeker,utilitarian,mid,27932,dry,"바디워시,샴푸",0.31
C067,ValueSeeker,utilitarian,low,10013,oily,"마스크팩,바디워시",0.27
C068,ValueSeeker,utilitarian,mid,28868,dry,"쿠션,마스크팩",0.4
C069,LossAverse,utilitarian,mid,24592,combo,"샴푸,로션",0.46
C070,LossAverse,utilitarian,mid,28084,combo,바디워시,0.56
C071,LossAverse,utilitarian,mid,22700,oily,"바디워시,샴푸",0.58
C072,LossAverse,utilitarian,mid,25238,all,"쿠션,로션",0.55
