consumer_id,psychographic_type,persona_satisfaction,decision_ease
C001,Maximizer,5.0,4.0
C002,Maximizer,5.0,4.0
C003,Maximizer,5.0,4.0
C004,Maximizer,5.0,3.0
C005,Maximizer,4.0,3.0
C006,Maximizer,4.0,3.0
C007,Maximizer,4.0,2.0
C008,Maximizer,5.0,4.0
C009,Maximizer,5.0,4.0
C010,Maximizer,4.0,3.0
C011,Maximizer,4.0,3.0
C012,Maximizer,4.0,3.0
C013,Maximizer,4.0,2.0
C014,Maximizer,4.0,2.0
C015,Maximizer,4.0,3.0
C016,Maximizer,4.0,3.0
C017,Maximizer,5.0,4.0
C018,Maximizer,2.0,2.0
C019,Maximizer,4.0,2.0
C020,Maximizer,4.0,3.0
C021,Maximizer,4.0,2.0
C022,Maximizer,4.0,3.0
C023,Maximizer,4.0,2.0
C024,Maximizer,4.0,3.0
C025,Maximizer,4.0,2.0
C026,Maximizer,3.0,3.0
C027,Maximizer,4.0,3.0
C028,Maximizer,4.0,3.0
C029,Maximizer,4.0,3.0
C030,Maximizer,3.0,3.0
C031,Maximizer,4.0,3.0
C032,Maximizer,4.0,3.0
C033,Maximizer,4.0,3.0
C034,Maximizer,5.0,4.0
C035,ValueSeeker,5.0,4.0
C036,ValueSeeker,4.0,4.0
C037,ValueSeeker,4.0,4.0
C038,ValueSeeker,5.0,4.0
C039,ValueSeeker,4.0,4.0
C040,ValueSeeker,4.0,4.0
C041,ValueSeeker,4.0,4.0
C042,ValueSeeker,1.0,1.0
C043,ValueSeeker,4.0,3.0
C044,ValueSeeker,3.0,4.0
C045,ValueSeeker,3.0,4.0
C046,ValueSeeker,4.0,4.0
C047,ValueSeeker,4.0,5.0
C048,ValueSeeker,5.0,4.0
C049,ValueSeeker,3.0,4.0
C050,ValueSeeker,3.0,4.0
C051,ValueSeeker,1.0,1.0
C052,ValueSeeker,1.0,2.0
C053,ValueSeeker,4.0,3.0
C054,ValueSeeker,4.0,4.0
C055,ValueSeeker,4.0,4.0
C056,ValueSeeker,5.0,4.0
C057,ValueSeeker,4.0,3.0
C058,ValueSeeker,4.0,4.0
C059,ValueSeeker,4.0,3.0
C060,ValueSeeker,4.0,3.0
C061,ValueSeeker,4.0,3.0
C062,ValueSeeker,4.0,5.0
C063,ValueSeeker,4.0,4.0
C064,ValueSeeker,4.0,3.0
C065,ValueSeeker,4.0,3.0
C066,ValueSeeker,4.0,3.0
C067,ValueSeeker,4.0,3.0
C068,ValueSeeker,4.0,3.0
C069,LossAverse,5.0,5.0
C070,LossAverse,5.0,5.0
C071,LossAverse,5.0,5.0
C072,LossAverse,5.0,5.0
C073,LossAverse,5.0,5.0
C074,LossAverse,5.0,5.0
C075,LossAverse,5.0,5.0
C076,LossAverse,5.0,5.0
C077,LossAverse,4.0,3.0
C078,LossAverse,3.0,4.0
C079,LossAverse,5.0,5.0
C080,LossAverse,3.0,3.0
C081,LossAverse,5.0,5.0
C082,LossAverse,5.0,5.0
C083,LossAverse,5.0,5.0
C084,LossAverse,5.0,5.0
C085,LossAverse,5.0,5.0
C086,LossAverse,5.0,5.0
C087,LossAverse,5.0,5.0
C088,LossAverse,5.0,5.0
C089,LossAverse,5.0,5.0
C090,LossAverse,5.0,5.0
C091,LossAverse,5.0,5.0
C092,LossAverse,5.0,5.0
C093,LossAverse,5.0,5.0
C094,LossAverse,4.0,5.0
C095,LossAverse,5.0,5.0
C096,LossAverse,5.0,5.0
C097,LossAverse,5.0,5.0
C098,LossAverse,5.0,5.0
C099,LossAverse,5.0,5.0
C100,LossAverse,5.0,5.0
C101,LossAverse,5.0,5.0
C102,Impulsive,5.0,5.0
C103,Impulsive,5.0,5.0
C104,Impulsive,5.0,5.0
C105,Impulsive,5.0,5.0
C106,Impulsive,5.0,5.0
C107,Impulsive,5.0,5.0
C108,Impulsive,5.0,5.0
C109,Impulsive,5.0,5.0
C110,Impulsive,5.0,5.0
C111,Impulsive,5.0,5.0
C112,Impulsive,5.0,5.0
C113,Impulsive,5.0,5.0
C114,Impulsive,5.0,5.0
C115,Impulsive,4.0,4.0
C116,Impulsive,5.0,5.0
C117,Impulsive,5.0,5.0
C118,Impulsive,5.0,5.0
C119,Impulsive,5.0,5.0
C120,Impulsive,5.0,5.0
C121,Impulsive,4.0,5.0
C122,Impulsive,5.0,5.0
C123,Impulsive,5.0,5.0
C124,Impulsive,5.0,5.0
C125,Impulsive,4.0,4.0
C126,Impulsive,5.0,5.0
C127,Impulsive,5.0,5.0
C128,Impulsive,5.0,5.0
C129,Impulsive,5.0,5.0
C130,Impulsive,5.0,5.0
C131,Impulsive,5.0,5.0
C132,Impulsive,5.0,5.0
C133,Impulsive,4.0,5.0
C134,Impulsive,5.0,5.0
C135,Hedonic,4.0,3.0
C136,Hedonic,3.0,3.0
C137,Hedonic,4.0,4.0
C138,Hedonic,3.0,3.0
C139,Hedonic,3.0,3.0
C140,Hedonic,4.0,3.0
C141,Hedonic,3.0,4.0
C142,Hedonic,4.0,4.0
C143,Hedonic,3.0,3.0
C144,Hedonic,4.0,3.0
C145,Hedonic,3.0,4.0
C146,Hedonic,4.0,3.0
C147,Hedonic,3.0,3.0
C148,Hedonic,4.0,3.0
C149,Hedonic,2.0,3.0
C150,Hedonic,3.0,4.0
C151,Hedonic,2.0,2.0
C152,Hedonic,4.0,3.0
C153,Hedonic,2.0,3.0
C154,Hedonic,3.0,3.0
C155,Hedonic,3.0,4.0
C156,Hedonic,3.0,3.0
C157,Hedonic,2.0,3.0
C158,Hedonic,2.0,3.0
C159,Hedonic,2.0,2.0
C160,Hedonic,2.0,2.0
C161,Hedonic,2.0,3.0
C162,Hedonic,2.0,3.0
C163,Hedonic,4.0,3.0
C164,Hedonic,3.0,3.0
C165,Hedonic,4.0,3.0
C166,Hedonic,4.0,4.0
C167,Hedonic,3.0,3.0
C168,Utilitarian,5.0,4.0
C169,Utilitarian,4.0,4.0
C170,Utilitarian,5.0,5.0
C171,Utilitarian,5.0,5.0
C172,Utilitarian,4.0,4.0
C173,Utilitarian,4.0,4.0
C174,Utilitarian,4.0,4.0
C175,Utilitarian,4.0,4.0
C176,Utilitarian,5.0,4.0
C177,Utilitarian,4.0,4.0
C178,Utilitarian,4.0,4.0
C179,Utilitarian,1.0,1.0
C180,Utilitarian,4.0,4.0
C181,Utilitarian,4.0,4.0
C182,Utilitarian,4.0,4.0
C183,Utilitarian,4.0,4.0
C184,Utilitarian,4.0,3.0
C185,Utilitarian,4.0,4.0
C186,Utilitarian,5.0,4.0
C187,Utilitarian,4.0,3.0
C188,Utilitarian,4.0,4.0
C189,Utilitarian,4.0,3.0
C190,Utilitarian,4.0,3.0
C191,Utilitarian,3.0,3.0
C192,Utilitarian,3.0,3.0
C193,Utilitarian,4.0,4.0
C194,Utilitarian,3.0,3.0
C195,Utilitarian,2.0,2.0
C196,Utilitarian,4.0,4.0
C197,Utilitarian,4.0,3.0
C198,Utilitarian,4.0,4.0
C199,Utilitarian,3.0,4.0
C200,Utilitarian,5.0,5.0
